pool_id,category,max_potential_return,buy_volume_10s_at_first,holder_delta_10s_at_first,marketcap_change_10s_at_first,marketcap_change_30s_at_first,marketcap_at_10s,percent_of_max_return_at_10s,potential_return_at_10s,marketcap_at_20s,percent_of_max_return_at_20s,potential_return_at_20s,marketcap_at_30s,percent_of_max_return_at_30s,potential_return_at_30s,marketcap_at_60s,percent_of_max_return_at_60s,potential_return_at_60s,marketcap_at_120s,percent_of_max_return_at_120s,potential_return_at_120s,marketcap_at_180s,percent_of_max_return_at_180s,potential_return_at_180s,big_buy_5s_at_first,marketcap_change_5s_at_first,large_buy_5s_at_first,net_volume_5s_at_first,holders_count_at_first,super_buy_5s_at_first,holder_delta_5s_at_first,buy_volume_5s_at_first
2MmsEVE5g8xVAsMgsGnCqE348y89Vsw2bsGs4XA42SJx,do_not_buy,1.3194396827893689,7.612325634,37,18.96654253,18.96654253,65036.40166641,100.0,1.3194396827893689,64078.10548611,101.49551266072892,1.3391720702961654,70929.09819031,91.69213105164641,1.2098223630906557,77557.27844237,83.85596164870095,1.1064288343775945,75226.73562165,86.45384001973461,1.1407062725156147,63023.35395842,103.19412976548045,1.3615842984349051,0,0.93489471,0,0.288788598,863,0,4,0.288788598
2Nf5T9g6eaS5vaAdUHQZg3ScB5whF9V9fM3YCZX5bLUa,do_not_buy,1.2883844298862295,18.411272259,67,99.77186648,99.77186648,97099.30201574,100.0,1.2883844298862295,96521.68958629,100.59842759894255,1.2960944778951473,99298.43967651,97.78532505854649,1.2598509027679505,117994.33189684,82.29149693447302,1.0602308336240542,110573.86690715,87.81396973054697,1.1313815132733738,98306.85810432,98.77164613754763,1.272558509978487,0,-7.7506834,0,-1.914964426,156,0,8,2.424
2P6Hf8dHpF6jpARJURk4MEqc9oR7j7GA3LATepN5EjYW,definitely_buy,2546499242.5699954,71.542464271,28,-11.99503088,-11.99503088,79114.1665407,100.0,2546499242.5699954,77477.63470386,102.1122635494685,2600288017.8582926,78784.58345895,100.41833448535233,2557152127.070902,72246.69081627,109.5055920857256,2788559073.034791,125569.46996785,63.004300775463875,1604404042.0337093,133153.94410755,59.41556374537321,1513016880.7446218,0,-7.38395744,0,-4.002361195,56,0,3,0.589576108
2QWSzkMLHSZgnHN5eRxnvYxx3SCWkeAhGvwiTXcauZ5E,do_not_buy,1.3837792171160552,28.735256935,113,45.68465479,45.68465479,71544.53279753,100.0,1.3837792171160552,97622.99156238,73.2865605248471,1.0141241934820133,94220.11243595,75.93339781478753,1.0507505778110866,90353.44368345,79.18296180075181,1.0957173688957484,74796.25438604,95.65256092674487,1.323620258743568,61125.18314713,117.0459197239873,1.619657111622878,0,19.10238794,0,9.695601834,945,0,13,9.7581
2Rg5BGRtNJf9LtSYZix97g7fLJGmdbwmw4vm1iSKCQMz,do_not_buy,1.790221314975829,49.389519082,80,0.77945744,0.77945744,48211.7113134,100.0,1.790221314975829,64724.12744718,74.48800503760296,1.3335001432834377,54219.87678621,88.91888763137491,1.5918448794162798,63278.8331556,76.18931783215633,1.3639574075659429,75039.4126592,64.24851901807781,1.1501906820179284,72671.62751442,66.34186265311521,1.1876661659680576,0,2.95159307,1,-8.402878728,306,0,10,24.542221017
2TAcWadw3teUqNkcDKXaXGv71DX3YEpZ9FNYDUz4WHSF,do_not_buy,2.4313704566105128,19.257292778,67,56.03966027,56.03966027,74395.30319638,100.0,2.4313704566105128,66586.9379837,111.72657198111654,2.716486863332546,60713.14312699,122.53574656935791,2.979297940874498,68813.88852194,108.11088400077912,2.628576093975405,77368.27334621,96.15737818456093,2.3379420850306567,83167.53290854,89.45233866464828,2.174917735039441,0,5.93413533,0,-9.241104321,84,0,7,0.521
2TTx8B2kryJYPpWkXacwEaZFcjM8DqZcd67kZZ5WcCtK,definitely_buy,12.430977903533263,111.532607192,113,252.46277199,252.46277199,201869.68816239,100.0,12.430977903533263,282452.34598209,71.47035279897811,8.884463764018236,321135.98517233,62.861123475172484,7.814252369111453,357514.15383613,56.46481013306087,7.019128070912808,420664.78519137,47.98825460765747,5.9654093265691825,486183.69411568,41.52127901565497,5.161501019700463,0,2.29527558,0,4.423124826,198,0,72,31.4568
2TsHQHVfQYE4k62pc88GUtZjpQqY4t2iWv23xkEX1HsQ,maybe_buy,4.010139553942406,24.1783116,42,51.82098419,51.82098419,84337.06259341,100.0,4.010139553942406,78102.91897887,107.98195982435253,4.330227282038559,85876.4944252,98.20738859673543,3.938253335011612,110053.42440083,76.63283814435668,3.0730837537355113,127456.50844252,66.1692867818077,2.653480741798855,162045.79960821,52.04520129328739,2.0870852029910623,0,-19.80543727,0,-3.543691915,886,0,15,13.3568316
2VJRe4gU1NBuUa86jp5TwhfzBXpSWFBZwUQJVv8dhFpi,do_not_buy,1.292489985291356,1.7938,19,-15.32690447,18.00531751,67586.41916597,100.0,1.292489985291356,64458.22291199,104.85306003277685,1.3552153001951743,43244.38181838,156.28947928964033,2.0200258678826093,57926.81978972,116.67552165182775,1.5080194326363214,54121.43510559,124.87920734938025,1.6140512487019667,33260.70967336,203.20197563343942,2.626365184976386,0,-11.17958913,0,4.90255,658,0,10,4.90255
2VTngp3e3v1YxaozQsTpBonwjwKbpTMS341ys62H477x,do_not_buy,1.083879618369975,34.766837231,46,21.04925929,21.04925929,57300.18320947,100.0,1.083879618369975,53538.09429336,107.02693841789693,1.1600431716769695,53581.38260249,106.94047153387041,1.1591059747443664,53226.67577353,107.65313139838388,1.166830349764131,40578.68243345,141.20759909699794,1.5305203862019456,36132.2677725,158.58451943910575,1.7188652840904382,0,9.30102098,1,4.674687663,513,0,3,12.135216572
2Vdtp8ba1zaEMxA1JyztTqhvtAds1vWCY8xHicBJXRwy,do_not_buy,1.3987286581594576,142.484121876,39,13.44777106,13.44777106,59730.02597916,100.0,1.3987286581594576,62981.00121883,94.83816519782789,1.3265285954946278,79090.67948685,75.5209417426879,1.0563330550668841,66602.95386416,89.68074614375561,1.2543902971639425,38080.36605271,156.8525520381895,2.1939415964126328,69414.10508935,86.04883100095485,1.2035896592215551,0,-23.15619878,0,0.886083196,244,0,8,1.560455893
2WEAgK2FxCpguiCEpQojXJSi8UAayCFLUDiriGCuymr8,definitely_buy,17.162434597964758,42.523548003,36,23.98016998,23.98016998,71008.45888,100.0,17.162434597964758,81053.94646485,87.60641767244938,15.035394136653965,65323.65117222,108.70252596994696,18.655999925927805,62444.97739775,113.71364333708378,19.516029666689914,85336.01461405,83.21042317379202,14.280934455891767,94359.43702045,75.2531608095656,12.915274506842943,0,1.38952265,3,-60.636736951,377,0,21,23.158110316
2WMe2ZizJSDNBmy3BvWcupexAfxoTMaMeCwh1NLrntXq,do_not_buy,1.4170997949301227,24.973320457,66,81.21283633,81.21283633,87421.90435586,100.0,1.4170997949301227,89188.65886629,98.01908164907076,1.3890282050413714,90850.87585548,96.22571442781178,1.3636144018265663,85104.0160285,102.72359453234708,1.455695847462741,108509.45689947,80.5661615621698,1.1417029102805796,83009.60258261,105.31541127288126,1.492424477177816,0,30.60555409,0,7.528849088,160,0,12,9.119136596
2Zmw9kedxciEcRL7rEmLN3XpeBohZngJWMxoHqg382Mt,do_not_buy,1.3082737314187582,100.080003163,38,13.57201629,13.57201629,52861.86067237,100.0,1.3082737314187582,61091.96462319,86.5283364161186,1.132027495565731,45744.34582973,115.55933244544117,1.511832390586581,48394.9282323,109.2301664724624,1.4290295747442052,45823.3250862,115.36015898656318,1.509226656544122,60527.43363546,87.33537422178243,1.1425857591798492,0,2.23588659,0,1.473680981,379,0,8,1.728
2ZqMM2eZ56NXM6gsqmMsqYJGLEzJPcujUYkF3gERJu7F,definitely_buy,97017.94818464405,13.439488991,31,-13.94019679,-13.94019679,49289.9307894,100.0,97017.94818464405,59693.64484558,82.57148799827334,80109.16344145441,55498.20841528,88.81355308008337,86165.08690817661,58321.54247078,84.51410696844141,81993.85250735714,50975.23826277,96.69387033625526,93810.40902055503,57728.20017402,85.38276031613132,82836.6021621231,0,-6.18236591,0,-1.094301291,460,0,7,0.587261261
2a1U8u8czRQvUCdBnWLrntkqs2wYK5g1ebYZCwgnNAdd,do_not_buy,1.0366593057534719,28.589643534,42,9.94124787,9.94124787,58139.45115745,100.0,1.0366593057534719,51861.4683266,112.10529326187624,1.16214995484146,26413.46737599,220.11290804742703,2.281820944438235,21720.75110473,267.6677748256565,2.7748028962334175,21328.0946445,272.59561684495225,2.825887829099276,23437.47642616,248.06190777671353,2.5715568509968962,0,-3.53629255,0,-4.17900209,239,0,16,8.292682478
2agT4acb6MCzXtt9FxBTqYxwL8UDe8ZJWBNqpdSRjyHV,maybe_buy,3.9465392856574537,0.0,67,-26.14599695,-34.56638247,67239.17368944,100.0,3.9465392856574537,88047.156739,76.36722885755239,3.013862688231241,83397.51782139,80.62491000444898,3.1818937473515456,49091.28196666,136.96764679134884,5.405481989261123,91111.07180372,73.79912491238487,2.912511457138686,126361.41630177,53.211791745719886,2.1000242658470656,0,-7.93655679,0,0.0,875,0,0,0.0
2bCg53k31NPtSFbjEyPB5HQ38jA8KDEFZNg4uobzbdLn,do_not_buy,1.3500887084274058,3.4196,3,9.15201865,51.06564946,86521.40870322,100.0,1.3500887084274058,76740.6161495,112.74526195445948,1.5221610509340573,74964.76141119,115.41610628044359,1.5582198185988427,74324.77692927,116.40991372978723,1.5716371007559418,78953.83560086,109.58480743179699,1.479492111288608,72922.23497724,118.64887126707579,1.601865013653359,0,7.76912888,0,3.405171496,166,0,0,3.4196
2c148Fi2uVPxVyiFGp6mKUk6H664FbSCJNaciGSZDVS3,definitely_buy,11.940404624496205,24.477859477,51,-3.90320589,-3.90320589,55038.52151634,100.0,11.940404624496205,55314.64100281,99.50082025036379,11.880800542586094,58675.38638588,93.80171977799672,11.200304886228892,53231.1302285,103.3953652309872,12.345824971555537,82633.41710699,66.60564629086876,7.952983669890479,83078.53294976,66.24878842001627,7.910373396176329,0,-9.11253946,0,-0.916564683,516,0,15,6.81929
2d6EA939QPxZCyKGWPvN6pYNgwxBTXyTBwRASKzspjT8,do_not_buy,1.0383142764679842,25.493118513,46,267785.67783517,267785.67783517,125984407.843862,100.0,1.0383142764679842,125607307.645666,100.30022154384504,1.0414315196187598,125495223.469192,100.38980318226223,1.0423616585595394,125346548.16022,100.50887694396393,1.0435980184268157,126565869.254925,99.54058593008844,1.03354411459199,128367309.416684,98.14368503659523,1.019039893186741,0,0.61257822,1,8.958536499,68,0,6,8.958536499
2dazAxKNSXcPBiYRubTWivaEy27gvC6wua7CVXhVQvK6,maybe_buy,3.159540796087461,231.549351227,22,0.0,0.0,48595.19363461,100.0,3.159540796087461,95989.34979043,50.62560975848476,1.5995367935873608,138689.66470373,35.0387995662254,1.1070651667542077,48595.19363461,100.0,3.159540796087461,67180.43555471,72.33533577649305,2.2854644438451466,12978.62101412,374.4249376088661,11.830108654477147,0,0.0,0,73.521120554,67,3,22,98.121797484
